family,dimension,size_a,size_b,wilcoxon_T,p_raw,p_holm,rank_biserial_r,n_pairs
qwen3,Masculinity,4.0,8.0,4543.5,0.5720155197971526,0.6547257872725409,0.052549264935877416,420
qwen3,Masculinity,4.0,14.0,4624.5,0.0015758555338475546,0.0063034221353902185,0.27287735849056605,420
qwen3,Masculinity,4.0,32.0,5533.5,0.008455865395796168,0.025367596187388507,0.2204142011834319,420
qwen3,Masculinity,8.0,14.0,6348.0,0.0006842549256945808,0.003421274628472904,0.2699672244264275,435
qwen3,Masculinity,8.0,32.0,7032.0,0.0004574981618080358,0.0027449889708482146,0.2640502354788069,435
qwen3,Masculinity,14.0,32.0,6112.5,0.6547257872725409,0.6547257872725409,0.03891509433962259,435
qwen3,Power_Distance,0.6,1.7,4605.0,1.9761404289906372e-24,2.964210643485956e-23,0.7178308823529411,450
qwen3,Power_Distance,0.6,4.0,7977.0,2.2441372709871488e-09,2.019723543888434e-08,0.4343154983512393,444
qwen3,Power_Distance,0.6,8.0,10089.0,2.4185909898187707e-06,1.6930136928731394e-05,0.3358348968105066,450
qwen3,Power_Distance,0.6,14.0,10852.5,0.10194157257398508,0.10194157257398508,0.12313658950430251,450
qwen3,Power_Distance,0.6,32.0,8179.5,6.37265256589641e-05,0.0003823591539537846,0.30197132616487454,450
qwen3,Power_Distance,1.7,4.0,5908.5,2.375275673378045e-10,2.6128032407158494e-09,0.4815058575753587,444
qwen3,Power_Distance,1.7,8.0,5928.0,6.617466755214598e-13,7.940960106257517e-12,0.5336873156342183,450
qwen3,Power_Distance,1.7,14.0,4810.5,1.4598321316153226e-21,2.0437649842614517e-20,0.6833218129752148,450
qwen3,Power_Distance,1.7,32.0,6363.0,3.390154684146934e-17,4.4072010893910147e-16,0.591132530120482,450
qwen3,Power_Distance,4.0,8.0,4783.5,0.02879825168803991,0.05759650337607982,0.187929717341482,444
qwen3,Power_Distance,4.0,14.0,4867.5,3.455265285430511e-10,3.455265285430511e-09,0.4905808477237049,444
qwen3,Power_Distance,4.0,32.0,4080.0,0.00011324965566120732,0.0005662482783060366,0.33365997060264574,444
qwen3,Power_Distance,8.0,14.0,3699.0,1.7319384245966495e-06,1.3855507396773196e-05,0.41839622641509433,450
qwen3,Power_Distance,8.0,32.0,6028.5,0.026795319760390807,0.05759650337607982,0.18013055895552832,450
qwen3,Power_Distance,14.0,32.0,5368.5,0.003984322352034729,0.015937289408138915,0.2436601859678783,450
qwen3,Uncertainty_Avoidance,0.6,1.7,1207.5,1.4196188026344332e-39,2.12942820395165e-38,0.9277184160905091,429
qwen3,Uncertainty_Avoidance,0.6,4.0,7051.5,5.337546564253018e-18,6.938810533528923e-17,0.5968267581475128,435
qwen3,Uncertainty_Avoidance,0.6,8.0,7956.0,4.2279878100442635e-19,5.919182934061969e-18,0.592626728110599,435
qwen3,Uncertainty_Avoidance,0.6,14.0,7122.0,7.715730719193681e-18,8.48730379111305e-17,0.5927958833619211,438
qwen3,Uncertainty_Avoidance,0.6,32.0,10224.0,6.443603806216726e-15,5.799243425595053e-14,0.5086505190311419,438
qwen3,Uncertainty_Avoidance,1.7,4.0,5386.5,3.8766376131086924e-13,3.101310090486954e-12,0.5528019925280199,432
