family,dimension,size_b,n,mean,sd,se,ci95_halfwidth
gemma,Uncertainty_Avoidance,27.0,444,39.86486486486486,18.819079932548686,0.8931140095341993,1.7505034586870305
granite,Individualism,2.0,396,61.17424242424242,21.194038884430515,1.0650405268463417,2.0874794326188297
granite,Individualism,8.0,396,49.053030303030305,22.51693519422329,1.1315185676967718,2.2177763926856726
granite,Indulgence,2.0,417,37.05035971223022,17.077449596648364,0.8362863047519935,1.6391211573139073
granite,Indulgence,8.0,417,37.76978417266187,17.855314555784197,0.8743785156872516,1.713781890747013
granite,Long_Term_Orientation,2.0,423,40.248226950354606,19.946548013491775,0.969834352133441,1.9008753301815444
granite,Long_Term_Orientation,8.0,423,25.177304964539008,20.326814529780687,0.9883235428552465,1.9371141439962831
granite,Masculinity,2.0,435,57.241379310344826,16.34448110553676,0.7836578871926138,1.535969458897523
granite,Masculinity,8.0,435,52.06896551724138,16.234736258091047,0.7783960245048805,1.525656208029566
granite,Power_Distance,2.0,450,39.5,21.289838851136228,1.0036126281338162,1.9670807511422799
granite,Power_Distance,8.0,450,35.5,18.56563028992984,0.8751922050007838,1.715376721801536
granite,Uncertainty_Avoidance,2.0,444,44.25675675675676,19.319970003209065,0.9168852003122159,1.797094992611943
granite,Uncertainty_Avoidance,8.0,444,42.398648648648646,19.443176406626783,0.9227323174588077,1.808555342219263
llama,Individualism,8.0,396,47.916666666666664,18.752636945375535,0.9423554632964706,1.8470167080610822
llama,Indulgence,8.0,417,38.669064748201436,15.9503685554878,0.7810929087045424,1.530942101060903
llama,Long_Term_Orientation,8.0,423,34.751773049645394,16.803078606026773,0.8169936393355164,1.601307533097612
llama,Masculinity,8.0,435,51.37931034482759,20.31845621886048,0.974195409978108,1.9094230035570918
llama,Power_Distance,8.0,450,38.833333333333336,19.71469667617049,0.9293597139170695,1.8215450392774561
llama,Uncertainty_Avoidance,8.0,444,42.229729729729726,17.662024377705475,0.8382025829637354,1.6428770626089213
